分野,公式,内容,イメージ図1,イメージ図2,イメージ図3
ストラテジ系,PEST分析,"政治（Politics）
経済（Economy）
社会（Society）
技術（Technology）

マクロ環境：組織の外部環境のうちコントロールできない業界外の環境のこと",,,
ストラテジ系,PPM,"Product Portfolio Management
事業や製品を`市場成長率`と`市場占有率`の`マトリックス`によって分類し、`最適な経営資源配分`を判断する手法

`市場成長率`：事業の市場規模が前年と比べて増加した割合。`高いほど積極的な投資が必要`
`市場占有率`：マーケットシェア。市場を占める自社の事業や商品の売り上げの割合。`高いほど利益を生み出す力が大きくなる`

花形、金のなる木（占有率高）、問題児（成長率高）、負け犬",,,
ストラテジ系,アンゾフの成長マトリクス,"市場X製品、既存X新規

* 市場浸透：`既存市場`に対して、`既存製品`で事業拡大する場合の戦略
    * 例：現在の市場で現有製品の広告、宣伝を強化し、顧客の購入頻度や購入量を増やす

* 製品開発：`既存市場`に対して、`新規製品`で事業拡大する場合の戦略
    * 例：新たな機能を付加した製品や新規に開発した製品を、現在の市場に投入する

* 市場開拓：`新規市場`に対して、`既存製品`で事業拡大する場合の戦略
    * 例：現有製品で海外市場に進出し、新たな市場セグメントの開拓を図る

* 多角化　：`新規市場`に対して、`新規製品`で事業拡大する場合の戦略
    * 例：技術開発、業務提携、M&Aなどで、新たな製品や市場での成長の機会を求める",,,
ストラテジ系,エンタープライズアーキテクチャ（EA）,"Enterprise Architecture
エンタープライズアーキテクチャ。社会環境や情報擬似術の変化に素早く対応できるよう、全体最適の観点から業務とシステム全体を改革するためのフレームワーク。主に大企業や政府、地方公共団体といった巨大な組織（enterprise）の業務手順と情報システムの標準化、組織の最適化を図るための方法論として活用される

情報システムや業務プロセスの現状を把握し、あるべき企業の姿とのギャップを埋めるための目標を設定し、全体最適化を図ること






.

",,,
ストラテジ系,コトラーの競争戦略,"マーケットシェアの大きさの観点から、競争地位に応じた企業の戦略をとる手法

`経営資源の量`と`経営資源の質`によって、リーダー、ニッチャー、チャレンジャー、フォロワーと4つの地位分類

ニッチャー：専門化、集中化
チャレンジャー：差別化",,,
ストラテジ系,バリューチェーン,"活動を`主活動`と`支援活動`に分け、`企業の製品`や`サービスの利益`がどの活動で生み出されているか分析することで、自社の強み・弱みを明確にする








.",,,
ストラテジ系,プロダクトライフサイクル,"`導入期`、`成長期`、`成熟期`、`衰退期`の4つのステージに分類し、成長ステージにあった戦略を分析する手法
    * `導入期`：`市場拡大`を狙って、商品の認知度を高める
    * `成長期`：`市場浸透`を目的に、競合他社との差別化を図るために自社のブランドを高める 
    * `成熟期`：商品を改良するなどして、`シェア維持`・利益の確保を狙う
    * `衰退期`：コストを抑えながら、`生産性を確保`する（場合によっては撤退）",,,
ストラテジ系,マーケティングミックス（`4P`と`4C`）,"マーケティングの`フレームワーク`や`ツール`を組み合わせて、自社の商品を`効果的に販売する`手法
製品戦略、価格戦略、チャネル戦略、プロモーション戦略などを組み合わせる














.",,,
ストラテジ系,ロングテール,"売れ筋商品の売り上げ合計よりも、`あまり売れない商品の売り上げ合計のほうが、無視できないくらい大きくなっている現象`
リアル店舗だと売り場面積が限られているため、売れ筋商品しか並ばないが、`ネットショッピングではあまり売れない商品も取り扱える`

ビジネスとしては成功させるためには豊富な品揃えと効率的な在庫・配送管理が必要
大規模な物流センターの構築や活用






.",,,
ストラテジ系,技術のSカーブ,"技術は、最初は緩やかに進歩するが、どこかの時点で急激に進歩し、その後伸びなくなる








.",,,
ストラテジ系,財務三表,"・貸借対照表(B/S)
    ・期末の財務状況
    ・資産
    ・負債
    ・純資産

・損益計算書(P/L)
    ・売上高
    ・売上総利益 = 売上高 - 売上原価（期首商品棚卸高 + 当期商品仕入高 - 期末商品棚卸高）
    ・営業利益    = 売上総利益 - 販売費及び一般管理費
    ・経常利益    = 営業利益 + 営業外利益 - 営業外費用
    ・税引前当期純利益 = 経常利益 + 特別利益 - 特別損失
    ・当期純利益 = 税引前当期純利益 - 法人税、住民税及び事業税等

・キャッシュフロー計算書(C/F)
    ・1年間の現金の流れ
    ・営業CF：本業でのお金の増減
    ・投資CF：投資でのお金の増減
    ・財務CF：資金調達でのお金の増減",,,
ストラテジ系,"財務三表
貸借対照表","(B/S)
資産・負債・純資産を掲載し、ある時点の財務状況を表す

資産　：投資有価証券、売掛金
負債　：社債
純資産：資本金








.",,,
テクノロジ系,アナログ信号からデジタル信号への変換,"1. 標本化：一定時間単位でデータを区切り標本を抽出
2. 量子化：測定したデータを数値化。音のレベルを区切って数値化する
3. 符号化：量子化で数値化した値を2進数に変換。 正確に変換するには、データ量も大きくなる











.",,,
テクノロジ系,機械学習の分類,"・機械学習（右図）：
　　・強化学習、試行させ、報酬（評価）あり

他にも：
・ディープラーニング：`ニューラルネットワーク`を用いて人間と同じような認識を実現する技術。ニューロン（脳が情報を識別する際の電気信号が伝わる神経細胞）

・エキスパートシステム：AIだが`自ら学習はしない。`判断式を人間が与えなければならない。
ある特定の分野に特化した知識を基にルールベースの推論を行うことによって、専門家と同じレベルの問題解決を行う
例：IF 咳が出た AND 熱がある THEN 風邪

・（AIを利用した学習方法）エドテック：EdTech。Education（教育） × Technology（技術）、教育にITやAIを使うこと全般
例：LMS（学習管理システム） → 成績・出席・課題を一括管理",,,
テクノロジ系,統計・正規分布,"* 中央値（メジアン）：データを順番に並べた際に中央に来る値
* 最頻値（モード）　：最も頻繫に登場する値
* 平均値　　　　　 ：データの合計をデータ数で割った値
* 分散　　　　　　 ：平均からのずれの大きさ
* 標準偏差         ：√分散　`※分散は計算の都合、実際の数値を2乗しているので平方根を取っている。平均値からの距離`

* 分布
    * 平均値を中心に左右対称な分布を正規分布と呼ぶ（平均値から2*標準偏差分だけ離れた範囲に、全てのデータの95%が存在する）
* 2種間のデータの関連性を示す指標を`相関係数`と呼び、-1 ~ 1で表現される",,,
マネジメント系,"【プロジェクトの所要時間を短縮する手法】
クラッシング",メンバーの時間外勤務を増やしたり、業務内容に精通したメンバーを新たに増員するなど、クリティカルパス上のアクティビティに資源を追加投入して短縮を図る方法,,,
マネジメント系,"【プロジェクトの所要時間を短縮する手法】
ファストトラッキング","全体の設計が完了する前に仕様が固まっているモジュールの開発を開始するなど、当初の計画で順番に行う予定だったアクティビティを並行して行うことによって短縮を図る方法










.",,,
マネジメント系,"BSC
バランススコアカード","`バランススコアコード`の４つの視点においで、それぞれ`KGI`/ `CSF`/ `KPI`を設定することで、目標達成までのアクションプランが明確になる
 
   * `KGI`
        * Key Goal Indicator
        * 目指すべき`最終的な目標`
        * 例：売り上げ高xx% UP
    * `CSF`
        * Critical Success Factor
        * KGIを達成するのに`必要な要素`
        * 例：来客数など
    * `KPI`
        * Key Performance Indicator
        * CSFを達成するための`数値目標`
        * 例：新規顧客数　xx・既存顧客数xx

    * `SCM`
        * Supply Chain Management
        * `調達から販売までの一連のプロセス`（`サプライチェーン`）の情報を一元管理することで、`コスト削減や納期短縮`を目指す
    * `CRM`
        * Customer Relationship Management
        * `顧客に関する情報や購入履歴、クレーム`などを一元管理し、顧客に合った対応をすることで、顧客との良好な関係構築を目指す
    * `ERP`
        * Enterprise Resource PLanning
        * `企業資源計画`
        * 生産・流通・販売・会計・購買・経理・人事などの（人・モノ・金・情報）`基幹業務の情報`を一元管理することで、効率的な経営の実現を目指す。業務プロセスと統合する
    * `ナレッジマネジメント`
        * 知識管理
        * 企業が保持している情報や、社員が持っている`ノウハウや経験`を一元管理することで、`企業全体の問題解決力を高める`経営を目指す",,,
マネジメント系,PMBOK_リスク管理,"各脅威に対して適用できる対応戦略と好機に対して適用できる対応戦略











.",,,
マネジメント系,サービスマネジメントプロセス,"SLM。Service Level Management
顧客とサービス提供者の間でSLA(Service Level Agreement)を締結し、合意したサービスレベルを維持管理するの一連の活動。SLAの締結後、PCDAサイクルによってサービスの維持及び向上に努める













.",,,
マネジメント系,ソフトウェアの品質特性,"ISO/IEC 9126では、この評価基準として6つの特性とそれぞれの品質特性を細分化した21の副特性を定めている

・機能性：目的から求められる必要な機能の実装の度合い
・信頼性：機能が正常動作し続ける度合、障害の起こりにくさの度合い
・使用性：分かりやすさ、使いやすさの度合い
・効率性：目的達成のために使用する資源の度合い
・保守性：保守（改訂）作業に必要な労力の度合い
・移植性：移植のしやすさ、別の環境へ移した際そのまま動作する度合い",,,
マネジメント系,リスクアセスメント,"Risk assessment
安全工学上リスクとは、人、環境、物に悪い影響を与える可能性と大きさの積

リスクアセスメント：リスクの大きさを評価しそのリスクが許容できるか否かを決定する全体的なプロセスのこと。予想されるリスクの可能性と大きさと、許容される可能性と大きさを比較し許容値を超えた場合に軽減またはリスク回避の施策をとる意思決定を行う

リスクアセスメントに基づく監査対象の選定は、リスクアセスメントの結果で判断された問題が発生する可能性が高く、顕在化した時の影響が大きいシステムを監査の対象をすることが適切











.",,,
マネジメント系,企画プロセス,"* RFI（Request For Information）：`情報提供依頼書`。一般的な情報の提供を求める（=一次審査）
        * ベンダ企業：サービスや製品の情報提供。技術動向調査書（開発するのにふさわしいのかの判断材料）
* RFP（Request For Proposal）：`提案依頼書`。個別の`具体的な`提案を求める（=二次審査）
        * ベンダ企業：システム開発のスケジュール、導入計画、見積書、提案書
    * 審査通るとベンダ選定契約締結




.",,,
マネジメント系,技術経営の成功を阻む障壁,新技術を用いた開発した製品が市場で淘汰されてしまうことを表している。製品化までたどり着いた新製品が他企業との競争や顧客ニーズの荒波を乗り越え、事業化に達することの難しさを比喩した言葉。同じく技術経営の壁を意味する言葉に【魔の川】、【死の谷】、【ダーウィンの海】がある,,,
マネジメント系,"計画プロセス
（PMBOK）","立ち上げ　⇒
計画　　　⇒
実行　　　⇒
監視・コントロール　⇒
終結














.",,,
ストラテジ系,法律,"・著作権法：思想または感情を創作物に表現する（文芸・学術・音楽・美術）

・商標法：商品の名称たログマーク

・特許法：発明

・意匠法：工業上価値のある形状やデザイン










.",,,
